# initial live cell positions for Game of Life
# format: x,y

5,8
6,7
6,8
6,9
7,7

15,2
16,2
14,3
17,3
15,4
16,4

29,6
29,7
29,8

10,22
11,22
10,23
11,23
8,24
9,24
8,25
9,25

13,28
13,30
12,29
14,29

27,30
28,30
27,31
28,31

25,26
26,25
27,25
27,26
27,27

14,10
14,11
14,12
14,16
14,17
14,18
16,8
17,8
18,8
16,13
17,13
18,13
16,15
17,15
18,15
16,20
17,20
18,20
19,10
19,11
19,12
19,16
19,17
19,18

21,10
21,11
21,12
21,16
21,17
21,18
22,8
23,8
24,8
22,13
23,13
24,13
22,15
23,15
24,15
22,20
23,20
24,20
26,10
26,11
26,12
26,16
26,17
26,18
